MATNR	ZZVWERK
2621701170	ASCO
2622601010	ASCO
2622601070	ASCO
295623-004	ASCO
3828110217	ASCO
3999901254	ASCO
426996-001	ASCO
426999-001	ASCO
426999-002	ASCO
426999-003	ASCO
427000-002	ASCO
427034-001	ASCO
427099-002	ASCO
427101-001	ASCO
427107-001	ASCO
427129-001	ASCO
428225-001	ASCO
428225-004	ASCO
428227-001	ASCO
428455-001	ASCO
430560-001	ASCO
549534-007	ASCO
549534-008	ASCO
549534-028	ASCO
549534-029	ASCO
549534-034	ASCO
549534-036	ASCO
549534-050	ASCO
549534A007	ASCO
549534A008	ASCO
549534A028	ASCO
549534A029	ASCO
549534A034	ASCO
549534A050	ASCO
554665-003	ASCO
554733-003	ASCO
555450-001	ASCO
555458-001	ASCO
555460-002	ASCO
555461-002	ASCO
555462-001	ASCO
555463-001	ASCO
555464-001	ASCO
555464-002	ASCO
555464-003	ASCO
555464-004	ASCO
555464-005	ASCO
555464-006	ASCO
555465-001	ASCO
555465-002	ASCO
555465-003	ASCO
555465-004	ASCO
555465-005	ASCO
555465-006	ASCO
555466-001	ASCO
555466-002	ASCO
555466-003	ASCO
555466-004	ASCO
555466-005	ASCO
555556-001	ASCO
555556-002	ASCO
555556-003	ASCO
555660-001	ASCO
555661-001	ASCO
555846-001	ASCO
555846-002	ASCO
555846-003	ASCO
555846-004	ASCO
555846-005	ASCO
555846-006	ASCO
555846-007	ASCO
555846-008	ASCO
555880-009	ASCO
555893-001	ASCO
555895-003	ASCO
555899-001	ASCO
555907-003	ASCO
555908-001	ASCO
555910-001	ASCO
555914-001	ASCO
555914-002	ASCO
555914-003	ASCO
555914-004	ASCO
555914-005	ASCO
555914-006	ASCO
555914-007	ASCO
555914-008	ASCO
555914-009	ASCO
555915-001	ASCO
555915-002	ASCO
555915-003	ASCO
555915-004	ASCO
555915-005	ASCO
555915-006	ASCO
555915-007	ASCO
555915-008	ASCO
555915-009	ASCO
555916-001	ASCO
555919-001	ASCO
555919-002	ASCO
555919-003	ASCO
555919-004	ASCO
555919-005	ASCO
555919-006	ASCO
555919-007	ASCO
555919-008	ASCO
555919-009	ASCO
555920-002	ASCO
555921-001	ASCO
555921-002	ASCO
555921-003	ASCO
555921-004	ASCO
555921-005	ASCO
555921-006	ASCO
555921-007	ASCO
555921-008	ASCO
555921-009	ASCO
555923-002	ASCO
555951-001	ASCO
555951-002	ASCO
555951-003	ASCO
555951-004	ASCO
555951-005	ASCO
555951-006	ASCO
555951-007	ASCO
555951-008	ASCO
555951-009	ASCO
555951-010	ASCO
555952-001	ASCO
555958-001	ASCO
555959-001	ASCO
555959-002	ASCO
555959-003	ASCO
555959-004	ASCO
555959-005	ASCO
555959-006	ASCO
555959-007	ASCO
555959-008	ASCO
555959-009	ASCO
555959-010	ASCO
555973-001	ASCO
555973-002	ASCO
556022-001	ASCO
556022-002	ASCO
556022-003	ASCO
556022-004	ASCO
556022-005	ASCO
556022-006	ASCO
556022-007	ASCO
556022-008	ASCO
556022-009	ASCO
556022-010	ASCO
556023-001	ASCO
556064-001	ASCO
556065-001	ASCO
556163-001	ASCO
556164-001	ASCO
556174-001	ASCO
556175-001	ASCO
556176-001	ASCO
556178-001	ASCO
556179-001	ASCO
556211-001	ASCO
556687-001	ASCO
556796-002	ASCO
557225-001	ASCO
557226-001	ASCO
557322-001	ASCO
557322-002	ASCO
557322-003	ASCO
557322-004	ASCO
557322-005	ASCO
557322-006	ASCO
557322-007	ASCO
557322-008	ASCO
557322-009	ASCO
557322-010	ASCO
557323-001	ASCO
557325-001	ASCO
557325-002	ASCO
557325-003	ASCO
557325-004	ASCO
557325-005	ASCO
557325-006	ASCO
557325-007	ASCO
557325-008	ASCO
557325-009	ASCO
557325-010	ASCO
557446-001	ASCO
557446-002	ASCO
557446-003	ASCO
557446-004	ASCO
557446-005	ASCO
557446-006	ASCO
557446-007	ASCO
557446-008	ASCO
557446-009	ASCO
557446-010	ASCO
557447-001	ASCO
557450-001	ASCO
557451-001	ASCO
557958-001	ASCO
557958-002	ASCO
557958-003	ASCO
557958-006	ASCO
557958-007	ASCO
557958-010	ASCO
557958-013	ASCO
557998-001	ASCO
558308-001	ASCO
558393-001	ASCO
558814-001	ASCO
558828-001	ASCO
558860-001	ASCO
558862-002	ASCO
558863-001	ASCO
558864-001	ASCO
559210-002	ASCO
559706-002	ASCO
559750-002	ASCO
559819-001	ASCO
559834-002	ASCO
559835-002	ASCO
559836-001	ASCO
559872-001	ASCO
560768-001	ASCO
560769-001	ASCO
560770-001	ASCO
561326-001	ASCO
561343-001	ASCO
561349-001	ASCO
561423-001	ASCO
562737-001	ASCO
562738-001	ASCO
562746-001	ASCO
562747-001	ASCO
562819-001	ASCO
562820-001	ASCO
562823-001	ASCO
563033-001	ASCO
563033-002	ASCO
5634600200	ASCO
5634610200	ASCO
5634630200	ASCO
5634640200	ASCO
5634650200	ASCO
564828-001	ASCO
567919-001	ASCO
567946-002	ASCO
567995-001	ASCO
568003-001	ASCO
568062-001	ASCO
568190-001	ASCO
568191-001	ASCO
568255-001	ASCO
568256-001	ASCO
568263-001	ASCO
568269-001	ASCO
568271-001	ASCO
568609-002	ASCO
568819-002	ASCO
568819-003	ASCO
568819-004	ASCO
568819-005	ASCO
568980-001	ASCO
568981-001	ASCO
568982-001	ASCO
568983-001	ASCO
568985-001	ASCO
568990-001	ASCO
569039-001	ASCO
569062-001	ASCO
569063-001	ASCO
569064-001	ASCO
569065-001	ASCO
569066-002	ASCO
569066-003	ASCO
569467-002	ASCO
569651-002	ASCO
570111-001	ASCO
570111-002	ASCO
571666-001	ASCO
571666-002	ASCO
5728400424	ASCO
5744006214	ASCO
5746000012	ASCO
5746500012	ASCO
5776700220	ASCO
5776705280	ASCO
5776710220	ASCO
5776715270	ASCO
5776715280	ASCO
5776720220	ASCO
5776725270	ASCO
5776725280	ASCO
5776735270	ASCO
